Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
0ed78cba-671a-4514-82ce-e11fb1bb3837,"2020-05-27, 07:03:22 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,73.250.164.253
c91e765a-0bc9-4b10-a76c-c22198860401,"2020-05-27, 07:03:22 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPATCDDOXGZEWMMEU2KW""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::210661980594:group/Reviewers""}]",,us-east-1,,73.250.164.253
1044f1c7-64cb-4f54-83d6-c11f71aebd3f,"2020-05-27, 07:02:37 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""udacity_admin""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AdminWithBilling""}]",,us-east-1,,73.250.164.253
12108439-6e99-46ed-96c1-361537364389,"2020-05-27, 07:02:05 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::210661980594:group/AdminWithBilling""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AdminWithBilling""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPATCDDOXGZGXINRNDJX""}]",,us-east-1,,73.250.164.253
90a8250a-9ccd-4f14-b007-b0a9f82cffe6,"2020-05-27, 07:02:05 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AdminWithBilling""}]",,us-east-1,,73.250.164.253
c721ba58-3ef1-429d-9e85-5624eb5b1502,"2020-05-27, 07:02:05 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AdministratorAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AdminWithBilling""}]",,us-east-1,,73.250.164.253
0f08d331-b1bf-4823-a52a-596d2918b938,"2020-05-27, 07:01:07 PM",root,ConsoleLogin,,,,us-east-1,,73.250.164.253
607e8d45-13f5-46a3-b80e-037cbe5695bc,"2020-05-27, 06:58:53 PM",HIDDEN_DUE_TO_SECURITY_REASONS,ConsoleLogin,,,,us-east-1,,73.250.164.253
279f2068-c20b-48d5-8977-c9d8248cd54e,"2020-05-27, 06:56:08 PM",udacity_admin,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,73.250.164.253
9e2ece2c-3e56-4a84-9221-cd1cad9c1cdf,"2020-05-27, 06:56:08 PM",udacity_admin,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,73.250.164.253
b6318a00-d479-4057-b13d-af253d48ad71,"2020-05-27, 06:56:07 PM",udacity_admin,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::210661980594:group/CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPATCDDOXGZMOJWFSYZQ""}]",,us-east-1,,73.250.164.253
66ec14c9-a259-44f4-a8ad-b39609e1eaf6,"2020-05-27, 06:38:48 PM",udacity_admin,UpdateAccountPasswordPolicy,,,,us-east-1,,73.250.164.253
cac6cc86-acef-4bac-baa0-95e03c8382cf,"2020-05-27, 06:34:15 PM",udacity_admin,ConsoleLogin,,,,us-east-1,,73.250.164.253
d9275e11-dd3d-4fb4-b78d-f735d739a20a,"2020-05-27, 02:57:15 PM",Administrator,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""udacity_admin""}]",,us-east-1,,73.250.164.253
21c0c9d9-fd67-4563-92d4-5f67dd552fc0,"2020-05-27, 02:57:14 PM",Administrator,CreateAccessKey,IAM AccessKey and 1 more,"[{""resourceType"":""AWS::IAM::AccessKey"",""resourceName"":""AKIATCDDOXGZHCF4E34L""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""udacity_admin""}]",,us-east-1,,73.250.164.253
507c95d9-4e09-4a7c-a0cf-d0df87f35f2c,"2020-05-27, 02:57:14 PM",Administrator,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""udacity_admin""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Administrators""}]",,us-east-1,,73.250.164.253
5fd4ce37-af29-4b8d-a702-2a84e42a1271,"2020-05-27, 02:57:13 PM",Administrator,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""udacity_admin""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::210661980594:user/udacity_admin""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDATCDDOXGZJV2JWTQFO""}]",,us-east-1,,73.250.164.253
